city_or_county,state_abr,population,n_injured,n_rpts,n_killed
New Britain,CT,72808,27,38,7
New Brunswick,NJ,57035,37,51,7
New Canaan,CT,19738,0,3,1
New Castle,IN,17621,5,15,3
New Castle,PA,22375,19,48,18
New City,NY,33559,0,2,1
New Haven,CT,130322,226,411,45
New Haven,IN,15709,0,4,0
New Hope,MN,21032,3,5,1
New Iberia,LA,30754,52,77,22
New Lenox,IL,25800,0,5,0
New London,CT,27179,18,77,3
New Milford,NJ,16801,0,3,0
New Orleans,LA,389617,1892,3070,703
New Philadelphia,OH,17484,0,2,2
New Port Richey,FL,15842,8,25,5
New Rochelle,NY,79846,4,12,3
New Smyrna Beach,FL,24298,8,22,3
Newark,CA,45336,1,9,6
Newark,DE,33817,25,95,9
Newark,NJ,281944,361,737,304
Newark,OH,47986,14,31,8
Newberg,OR,22780,0,3,1
Newburgh,NY,28290,56,120,15
Newburyport,MA,17982,0,3,1
Newington,CT,30562,2,10,2
Newnan,GA,37291,21,43,12
Newport,KY,15354,3,12,4
Newport,RI,24232,4,9,2
Newport Beach,CA,87127,1,5,2
Newport News,VA,182385,352,536,107
Newton,IA,15125,4,8,2
Newton,KS,19216,5,9,5
Newton,MA,88817,0,2,0
Niagara Falls,NY,48916,64,182,11
Nicholasville,KY,29754,7,19,4
Niles,IL,29876,1,5,0
Niles,OH,18651,3,6,0
Nipomo,CA,16714,0,1,0
Nixa,MO,20984,1,6,1
Noblesville,IN,59093,2,7,5
Nogales,AZ,20252,2,3,0
Norco,CA,26289,3,3,1
Norcross,GA,16634,25,47,24
Norfolk,NE,24366,2,9,0
Norfolk,VA,246393,492,622,152
Normal,IL,54373,2,8,1
Norman,OK,120284,18,50,18
Norristown,PA,34412,18,27,11
North Andover,MA,28222,0,2,0
North Arlington,NJ,15904,0,2,0
North Augusta,SC,22522,16,60,13
North Aurora,IL,17456,1,1,0
North Babylon,NY,17509,3,3,0
North Bergen,NJ,63484,2,18,3
North Canton,OH,17441,1,12,2
North Charleston,SC,108304,190,395,111
North Chicago,IL,29491,3,4,3
North Fort Myers,FL,39407,5,12,1
North Haven,CT,24093,1,12,0
North Highlands,CA,42694,8,10,6
North Hills,CA,56946,4,10,5
North Hollywood,CA,77848,9,20,7
North Kingstown,RI,28042,0,4,0
North Las Vegas,NV,234807,36,69,27
North Lauderdale,FL,43703,6,6,1
North Liberty,IA,15931,2,7,1
North Little Rock,AR,66504,51,122,46
North Miami,FL,62435,1,2,2
North Miami Beach,FL,43971,17,26,12
North Myrtle Beach,SC,15579,1,13,6
North Ogden,UT,18446,1,1,1
North Olmsted,OH,32004,1,12,2
North Plainfield,NJ,22140,1,1,0
North Platte,NE,24194,5,14,2
North Port,FL,62345,7,20,9
North Providence,RI,33835,4,2,2
North Richland Hills,TX,69204,8,12,4
North Ridgeville,OH,32483,3,11,4
North Royalton,OH,30311,0,5,2
North Salt Lake,UT,19796,1,2,0
North Tonawanda,NY,30785,1,10,6
Northampton,MA,28540,1,7,0
Northdale,FL,22079,0,2,1
Northfield,MN,20380,1,2,1
Northglenn,CO,39197,1,3,0
Northport,AL,24772,8,12,1
Northridge,CA,68469,8,11,1
Norton,MA,19808,0,5,1
Norton Shores,MI,24208,0,4,0
Norwalk,CA,107140,59,78,25
Norwalk,CT,88485,34,75,8
Norwalk,OH,16827,1,2,0
Norwich,CT,39899,4,21,2
Norwood,MA,28602,0,3,1
Norwood,OH,19915,2,3,0
Novato,CA,55530,2,7,5
Novi,MI,58723,4,6,2
Nutley,NJ,27572,1,2,2
Oak Creek,WI,35243,1,5,1
Oak Forest,IL,28074,3,6,1
Oak Grove,OR,16629,1,2,0
Oak Harbor,WA,22693,3,7,3
Oak Lawn,IL,56781,3,10,4
Oak Park,IL,52287,14,18,1
Oak Park,MI,29752,4,7,4
Oak Ridge,TN,29302,9,30,3
Oakdale,CA,22259,2,7,2
Oakdale,MN,28080,1,2,0
Oakland,CA,419267,783,1478,321
Oakland Park,FL,44319,0,6,1
Oakley,CA,39813,6,13,4
Oakton,VA,34166,0,2,0
Oakville,MO,36143,0,1,0
Ocala,FL,58218,126,280,60
Ocean Springs,MS,17636,6,20,8
Oceanside,CA,175691,13,41,22
Oceanside,NY,32109,2,2,1
Ocoee,FL,43608,4,11,3
Oconomowoc,WI,16360,1,4,2
Odenton,MD,37132,6,21,3
Odessa,TX,118968,37,98,27
Ogden,UT,85444,22,54,15
Oildale,CA,32684,0,1,0
Okemos,MI,21369,0,3,1
Oklahoma City,OK,631346,429,815,234
Olathe,KS,134305,13,29,7
Old Bridge,NJ,23753,1,3,3
Olive Branch,MS,36010,12,15,6
Olney,MD,33844,0,1,1
Olympia,WA,50302,15,39,11
Omaha,NE,443885,527,923,144
Onalaska,WI,18468,2,5,0
Ontario,CA,171214,8,54,21
Opa-locka,FL,16565,3,4,2
Opelika,AL,29527,29,64,23
Opelousas,LA,16591,18,79,23
Orange,CA,140992,6,17,11
Orange,NJ,34457,31,35,16
Orange,TX,19347,5,9,3
Orangevale,CA,33960,2,5,2
Oregon,OH,20102,0,9,3
Oregon City,OR,35831,8,14,4
Orem,UT,94457,4,23,6
Orinda,CA,19279,5,4,0
Orland Park,IL,58619,0,8,2
Orlando,FL,270934,633,1020,303
Ormond Beach,FL,40970,8,25,7
Oro Valley,AZ,43565,0,1,0
Oroville,CA,16260,26,60,15
Oshkosh,WI,66555,10,33,7
Ossining,NY,25441,1,2,0
Oswego,IL,33955,1,4,0
Oswego,NY,17787,0,2,0
Ottumwa,IA,24624,6,12,2
Overland Park,KS,186515,11,40,14
Oviedo,FL,38551,6,11,1
Owasso,OK,34542,7,22,3
Owatonna,MN,25725,2,3,0
Owensboro,KY,59042,25,66,10
Owings Mills,MD,30622,10,12,4
Oxford,AL,21249,3,10,3
Oxford,MS,22314,10,34,7
Oxford,OH,22104,4,8,2
Oxnard,CA,207254,100,245,31
Oxon Hill,MD,17722,6,18,13
Ozark,MO,19120,2,7,1
Ozone Park,NY,53985,3,5,3
Pace,FL,20039,0,1,1
Pacific Grove,CA,15674,0,2,0
Pacifica,CA,39260,3,9,4
Paducah,KY,24864,15,73,2
Pahrump,NV,36441,5,21,2
Painesville,OH,19776,6,11,3
Palatine,IL,69308,5,9,2
Palestine,TX,18288,13,28,10
Palisades Park,NJ,20743,0,1,0
Palm Bay,FL,107888,32,60,13
Palm Beach Gardens,FL,52923,4,31,10
Palm City,FL,23120,1,5,0
Palm Coast,FL,82893,15,73,11
Palm Desert,CA,51869,4,11,2
Palm Harbor,FL,57439,2,10,1
Palm Springs,CA,47371,17,43,12
Palm Springs,FL,22341,0,1,1
Palmdale,CA,158351,27,42,21
Palmer,MA,18261,1,4,1
Palo Alto,CA,66853,15,22,7
Palos Hills,IL,17565,1,1,0
Pampa,TX,18177,11,14,3
Panama City,FL,38286,26,117,21
Papillion,NE,19510,1,2,1
Paradise,CA,26476,5,15,5
Paragould,AR,27900,7,16,3
Paramount,CA,55412,5,24,12
Paramus,NJ,26974,0,7,3
Paris,TX,24782,13,84,11
Park Forest,IL,21954,13,18,6
Park Ridge,IL,37757,4,7,0
Parker,CO,49550,2,14,4
Parkersburg,WV,30991,11,26,9
Parkland,WA,35803,1,5,2
Parkville,MD,30734,10,23,8
Parlier,CA,15138,7,8,2
Parma,OH,79937,5,8,0
Parma Heights,OH,20246,0,1,1
Parsippany,NJ,51144,4,3,0
Pasadena,CA,142250,60,126,20
Pasadena,MD,24287,6,15,2
Pasadena,TX,153784,20,36,11
Pascagoula,MS,22126,15,32,8
Pasco,WA,69451,25,48,15
Paso Robles,CA,27157,4,3,2
Passaic,NJ,71085,24,30,5
Pataskala,OH,15245,2,5,2
Paterson,NJ,147754,285,548,69
Patterson,CA,21498,7,10,2
Pawtucket,RI,71591,26,74,7
Payson,AZ,15345,1,4,3
Payson,UT,19548,3,3,0
Peabody,MA,52504,0,17,3
Peachtree City,GA,35240,3,5,1
Peachtree Corners,GA,40978,2,1,3
Pearl,MS,26462,5,13,5
Pearl City,HI,47698,1,4,1
Pearland,TX,108821,8,18,9
Peekskill,NY,24043,2,5,1
Pekin,IL,33223,4,21,5
Pelham,AL,22885,0,5,0
Pembroke Pines,FL,166611,16,44,13
Pendleton,OR,16881,1,7,3
Penn Hills,PA,44610,1,9,7
Pennsauken,NJ,36332,3,11,2
Pensacola,FL,53193,83,198,47
Peoria,AZ,171237,25,39,10
Peoria,IL,115070,291,920,40
Perris,CA,74971,22,33,13
Perry,GA,15457,3,10,1
Perry Hall,MD,28474,0,1,0
Perrysburg,OH,21423,4,5,0
Perth Amboy,NJ,52682,3,7,2
Petaluma,CA,60438,4,12,3
Petersburg,VA,32477,92,129,46
Pflugerville,TX,57122,11,16,3
Pharr,TX,76538,5,11,7
Phenix City,AL,37570,38,50,30
Philadelphia,PA,1567442,2318,2929,890
Phoenix,AZ,1563025,473,969,412
Phoenixville,PA,16658,3,5,3
Pickerington,OH,19745,1,4,1
Pico Rivera,CA,64218,10,27,15
Pikesville,MD,30764,2,7,3
Pine Bluff,AR,44772,74,138,67
Pine Hills,FL,60076,14,14,9
Pinehurst,NC,15752,3,4,2
Pinellas Park,FL,51617,9,25,11
Pinole,CA,19269,4,9,3
Piqua,OH,20790,6,16,2
Piscataway,NJ,56044,0,2,1
Pittsburg,CA,69424,19,41,15
Pittsburg,KS,20409,3,19,2
Pittsburgh,PA,304391,595,936,243
Pittsfield,MA,43303,27,160,8
Placentia,CA,52495,0,2,1
Plainfield,CT,15498,3,6,1
Plainfield,IL,42527,6,18,5
Plainfield,IN,30590,2,5,2
Plainfield,NJ,51217,27,50,20
Plainview,NY,26217,0,1,0
Plainview,TX,20919,5,6,0
Plainville,CT,17328,0,2,0
Plano,TX,283558,11,25,23
Plant City,FL,37406,19,42,15
Plantation,FL,92560,11,25,9
Plattsburgh,NY,19806,3,9,3
Pleasant Grove,UT,38052,0,2,1
Pleasant Hill,CA,34810,2,4,0
Pleasant Prairie,WI,20726,2,7,4
Pleasanton,CA,79510,0,8,2
Pleasantville,NJ,20755,38,73,13
Plum,PA,27505,0,1,0
Pocatello,ID,54441,13,43,8
Poinciana,FL,53193,0,2,1
Pomona,CA,153266,62,98,45
Pompano Beach,FL,107762,27,65,21
Ponca City,OK,24758,2,4,1
Ponte Vedra Beach,FL,35400,0,2,0
Pontiac,MI,59917,129,238,33
Pooler,GA,23133,6,9,2
Poplar Bluff,MO,17266,6,27,10
Port Angeles,WA,19448,2,15,4
Port Arthur,TX,55340,30,50,18
Port Charlotte,FL,54392,6,23,9
Port Chester,NY,29620,1,3,0
Port Hueneme,CA,22423,4,13,3
Port Huron,MI,29330,3,10,1
Port Orange,FL,59866,7,22,9
Port Saint Lucie,FL,164603,18,72,10
Portage,IN,36738,4,28,7
Portage,MI,48177,3,6,2
Porterville,CA,56058,12,35,7
Portland,ME,66881,14,52,6
Portland,OR,632309,313,941,100
Portland,TX,16116,1,1,0
Portsmouth,NH,21530,0,51,3
Portsmouth,OH,20409,8,12,3
Portsmouth,RI,17756,0,3,1
Portsmouth,VA,96201,208,271,58
Post Falls,ID,30453,1,16,1
Potomac,MD,44965,0,1,2
Pottstown,PA,22664,16,24,6
Poughkeepsie,NY,30371,39,120,11
Poway,CA,50157,2,4,2
Prairie Village,KS,21877,1,7,2
Prairieville,LA,26895,7,12,4
Prattville,AL,35420,12,32,9
Prescott,AZ,41899,3,10,3
Prescott Valley,AZ,42197,5,9,1
Prichard,AL,22351,3,15,6
Princeton,NJ,29603,0,2,1
Prior Lake,MN,25282,3,4,1
Prospect Heights,IL,16386,1,4,0
Prosper,TX,15967,0,1,2
Providence,RI,179207,264,589,43
Provo,UT,115264,4,16,2
Prunedale,CA,17560,0,3,0
Pueblo,CO,109412,90,352,46
Pueblo West,CO,29637,0,6,1
Pullman,WA,32816,6,14,1
Punta Gorda,FL,18150,2,25,4
Puyallup,WA,39659,8,35,12
Queen Creek,AZ,34614,0,2,2
Queens,NY,2272771,78,130,46
Queensbury,NY,27703,3,9,0
Quincy,IL,40780,19,66,5
Quincy,MA,93618,4,39,0
Racine,WI,77742,56,186,17
Radcliff,KY,22387,10,14,3
Radford,VA,17403,2,8,0
Rahway,NJ,29508,2,5,3
Raleigh,NC,451066,193,324,79
Ramona,CA,20292,2,3,1
Ramsey,MN,25828,0,1,1
Ramsey,NJ,15102,0,2,0
Rancho Cordova,CA,71017,10,16,8
Rancho Cucamonga,CA,175236,6,27,3
Rancho Mirage,CA,18083,1,1,0
Rancho Palos Verdes,CA,42732,0,2,0
Rancho Santa Margarita,CA,49324,0,1,1
Randallstown,MD,32430,11,17,7
Randolph,MA,32112,6,17,2
Randolph,NJ,25734,0,3,2
Rapid City,SD,73569,21,80,16
Raymore,MO,20374,1,2,1
Raytown,MO,29401,1,5,2
Reading,MA,24747,0,1,1
Reading,PA,87879,41,61,28
Red Wing,MN,16445,1,8,1
Redan,GA,33015,2,1,0
Redding,CA,91582,15,48,16
Redford,MI,49936,5,9,2
Redlands,CA,71035,5,16,7
Redmond,OR,28654,1,18,2
Redmond,WA,60598,1,6,4
Redondo Beach,CA,68166,4,8,4
Redwood City,CA,85288,3,9,2
Reedley,CA,25569,6,8,3
Reisterstown,MD,25968,0,6,3
Reno,NV,241445,103,232,69
Renton,WA,100242,40,51,13
Republic,MO,16005,3,8,1
Reston,VA,58404,5,6,3
Revere,MA,53422,12,68,3
Rexburg,ID,27663,1,10,1
Reynoldsburg,OH,37158,10,17,10
Rialto,CA,103132,9,22,7
Richardson,TX,110815,4,8,4
Richfield,MN,36216,0,1,0
Richland,WA,54248,0,10,0
Richmond,CA,109708,102,160,68
Richmond,IN,35854,38,88,10
Richmond,KY,33533,14,42,13
Richmond,VA,220289,696,994,244
Richmond Hill,NY,98984,7,4,0
Ridgecrest,CA,28780,0,6,3
Ridgeland,MS,24351,13,18,2
Ridgewood,NJ,25621,0,1,0
Ridgewood,NY,69317,2,6,1
Rio Linda,CA,15106,1,6,5
Rio Rancho,NM,87521,12,24,11
Rio Rico,AZ,18962,0,1,0
Ripon,CA,15151,0,3,2
River Falls,WI,15269,1,3,0
Riverbank,CA,24122,1,2,0
Riverdale,GA,15989,24,44,27
Riverside,CA,322424,47,97,28
Riverside,OH,24972,2,4,2
Riverton,UT,41900,3,3,0
Riverview,FL,71050,9,30,8
Riviera Beach,FL,34005,19,30,9
Roanoke,VA,99897,157,227,43
Roanoke Rapids,NC,15345,30,49,7
Rochester,MN,112225,28,173,8
Rochester,NH,30038,4,90,2
Rochester,NY,209802,513,689,94
Rochester Hills,MI,73424,0,3,0
Rock Hill,SC,71548,90,338,33
Rock Island,IL,38620,12,24,9
Rock Springs,WY,23962,1,3,1
Rockford,IL,148278,392,842,77
Rockland,MA,17982,1,6,0
Rockledge,FL,24926,3,11,5
Rocklin,CA,61213,1,12,2
Rockville,MD,66980,3,7,1
Rockville Centre,NY,24201,0,1,0
Rockwall,TX,42566,2,5,1
Rocky Mount,NC,55806,87,137,32
Rocky River,OH,20376,0,6,1
Rogers,AR,63159,3,15,2
Rohnert Park,CA,42407,3,6,0
Rolla,MO,20019,4,8,2
Rolling Meadows,IL,24190,1,2,0
Rome,GA,36323,41,226,22
Rome,NY,32573,1,13,3
Romeoville,IL,39719,4,10,4
Romulus,MI,23417,1,21,5
Ronkonkoma,NY,19082,4,6,0
Roosevelt,NY,16258,7,20,5
Rosamond,CA,18150,6,14,5
Roseburg,OR,22114,15,15,18
Rosedale,MD,19257,2,3,2
Rosedale,NY,25812,4,4,1
Roselle,NJ,21670,6,9,3
Rosemead,CA,54908,5,21,10
Rosemount,MN,23413,0,8,2
Rosenberg,TX,35510,1,6,5
Roseville,CA,130269,12,18,3
Roseville,MI,47637,7,23,5
Roseville,MN,35580,2,5,0
Roswell,GA,94501,7,18,5
Roswell,NM,48544,23,86,28
Rotterdam,NY,20652,0,1,1
Round Lake,IL,18461,1,6,1
Round Lake Beach,IL,27852,0,1,1
Round Rock,TX,115997,8,46,10
Rowland Heights,CA,48993,0,4,1
Rowlett,TX,60236,11,14,5
Roy,UT,37964,0,6,6
Royal Oak,MI,59008,4,14,2
Royal Palm Beach,FL,37633,4,23,1
Rubidoux,CA,34280,2,1,1
Ruskin,FL,17208,7,13,3
Russellville,AR,29166,6,15,7
Ruston,LA,22340,9,14,5
Rutherford,NJ,18690,0,2,1
Rutland,VT,15824,2,16,0
Rye,NY,16046,0,2,0
Saco,ME,19078,2,7,6
Sacramento,CA,490712,309,477,180
Saginaw,MI,49347,163,241,55
Sahuarita,AZ,25707,2,6,1
Saint Charles,IL,32974,3,7,3
Saint Charles,MO,65794,7,22,8
Saint Clair Shores,MI,59715,1,5,1
Saint Cloud,FL,35183,5,16,7
Saint Cloud,MN,65842,19,56,6
Saint George,UT,72897,4,18,2
Saint Joseph,MO,76780,23,65,17
Saint Louis Park,MN,45250,1,3,0
Saint Michael,MN,16399,0,1,2
Saint Paul,MN,285068,159,404,68
Saint Peters,MO,52575,8,14,3
Salem,MA,42869,3,10,2
Salem,NH,29549,0,16,2
Salem,OR,164549,43,104,28
Salem,VA,25432,2,7,0
Salina,KS,47813,20,91,6
Salinas,CA,157380,150,301,108
Salisbury,MD,32899,18,46,14
Salisbury,NC,34017,81,173,38
Salt Lake City,UT,192672,96,309,41
Sammamish,WA,52253,1,4,3
San Angelo,TX,100450,22,75,22
San Antonio,TX,1469845,1027,1627,516
San Benito,TX,24496,0,4,3
San Bernardino,CA,216108,172,281,144
San Bruno,CA,43185,3,4,1
San Carlos,CA,29931,0,3,3
San Carlos Park,FL,16824,0,1,0
San Clemente,CA,65526,1,4,2
San Diego,CA,1394928,166,372,116
San Dimas,CA,34630,0,5,1
San Fernando,CA,24931,10,14,13
San Francisco,CA,864816,272,421,141
San Gabriel,CA,40424,8,13,7
San Jacinto,CA,46951,12,33,12
San Jose,CA,1026908,104,234,103
San Juan,TX,36556,0,3,0
San Juan Capistrano,CA,36454,2,4,3
San Leandro,CA,90712,26,50,5
San Lorenzo,CA,23452,2,5,1
San Luis,AZ,31520,0,1,0
San Luis Obispo,CA,47339,0,4,0
San Marcos,CA,92931,4,9,5
San Marcos,TX,60684,13,26,13
San Mateo,CA,103536,4,14,3
San Pablo,CA,30407,5,14,10
San Pedro,CA,78405,20,23,9
San Rafael,CA,59162,3,10,2
San Ramon,CA,76134,1,3,0
San Tan Valley,AZ,81321,3,5,3
Sand Springs,OK,19783,1,12,3
Sandusky,OH,25212,31,70,7
Sandy,UT,87461,15,20,7
Sandy Springs,GA,105330,11,30,7
Sanford,FL,58111,50,88,18
Sanford,ME,20893,0,9,1
Sanford,NC,29144,32,57,21
Sanger,CA,24950,4,11,5
Santa Ana,CA,335400,142,209,54
Santa Barbara,CA,91842,3,11,5
Santa Clara,CA,126215,7,34,10
Santa Clarita,CA,182371,5,28,15
Santa Cruz,CA,64220,16,52,10
Santa Fe,NM,84099,14,116,10
Santa Fe Springs,CA,18026,2,7,3
Santa Maria,CA,105093,20,63,24
Santa Monica,CA,93220,10,14,11
Santa Paula,CA,30546,16,25,3
Santa Rosa,CA,174972,33,77,12
Santee,CA,57787,4,6,2
Sapulpa,OK,20579,6,10,3
Sarasota,FL,55118,42,130,28
Saratoga,CA,30968,0,4,4
Saratoga Springs,NY,27765,0,4,0
Saratoga Springs,UT,25407,0,3,1
Sartell,MN,16788,2,4,1
Saugus,MA,26628,1,16,1
Savage,MN,30391,0,1,0
Savannah,GA,145674,503,740,159
Sayreville,NJ,44920,0,3,1
Scarsdale,NY,17885,0,1,0
Schaumburg,IL,74693,1,2,1
Schenectady,NY,65305,45,110,18
Schererville,IN,28791,0,2,2
Schertz,TX,37938,2,6,5
Scotch Plains,NJ,23584,1,4,2
Scottsdale,AZ,236839,15,45,28
Scranton,PA,77118,11,52,5
Seaford,NY,15294,0,1,0
Seagoville,TX,15894,1,2,2
Seal Beach,CA,24619,1,4,2
Searcy,AR,24196,3,12,3
Seaside,CA,33025,6,18,5
Seattle,WA,684451,302,732,107
Sebastian,FL,24007,6,13,0
Secaucus,NJ,19104,1,5,0
Sedalia,MO,21516,7,13,3
Seguin,TX,27864,4,15,8
Selden,NY,19851,1,2,1
Selma,AL,19519,104,132,42
Selma,CA,24414,9,12,8
Seminole,FL,18153,5,13,1
Severn,MD,44231,10,25,7
Severna Park,MD,37634,0,1,0
Sevierville,TN,16490,4,11,4
Seymour,CT,16562,2,5,1
Seymour,IN,19478,2,19,5
Shafter,CA,18336,2,6,2
Shaker Heights,OH,27646,3,7,0
Shakopee,MN,39981,1,5,1
Shawnee,KS,65046,9,19,2
Shawnee,OK,31286,5,15,4
Sheboygan,WI,48797,7,24,3
Shelby,NC,20189,26,39,18
Shelbyville,IN,19133,2,9,4
Shelbyville,KY,15253,4,8,4
Shelbyville,TN,21317,3,10,2
Shelton,CT,41296,2,14,2
Sheridan,WY,17873,1,7,4
Sherman,TX,40667,2,10,6
Sherman Oaks,CA,52677,5,5,2
Sherwood,AR,30517,5,13,2
Sherwood,OR,19283,1,5,5
Shirley,NY,27854,5,11,1
Shoreline,WA,55439,0,2,2
Shorewood,IL,16747,0,3,0
Shreveport,LA,197204,565,797,154
Shrewsbury,MA,33893,0,1,0
Sicklerville,NJ,42891,3,8,1
Sidney,OH,20858,2,10,1
Sierra Vista,AZ,43355,4,23,6
Sikeston,MO,16436,23,44,11
Siloam Springs,AR,16081,1,5,1
Silver Lake,CA,32890,0,1,1
Silver Spring,MD,71452,19,30,10
Silverdale,WA,19204,1,2,0
Simi Valley,CA,126788,5,16,0
Simpsonville,SC,20736,4,28,10
Sioux City,IA,82821,35,87,8
Sioux Falls,SD,171544,34,262,17
Skokie,IL,64821,4,15,3
Slidell,LA,27942,27,71,14
Smithfield,RI,21872,0,3,0
Smithtown,NY,26470,3,4,1
Smyrna,GA,56146,10,20,7
Smyrna,TN,46607,6,26,6
Snellville,GA,19733,10,18,8
Soledad,CA,25003,2,14,4
Solon,OH,23043,1,15,2
Somerset,MA,18165,0,2,0
Somerset,NJ,22083,5,8,1
Somerton,AZ,15048,6,7,3
Somerville,MA,80318,1,6,2
South Bend,IN,101516,218,340,65
South Boston,MA,571281,2,1,0
South Burlington,VT,18791,0,4,1
South El Monte,CA,20878,1,3,2
South Elgin,IL,22365,2,2,0
South Euclid,OH,21794,1,4,1
South Gate,CA,96401,7,25,18
South Hadley,MA,17652,4,4,0
South Holland,IL,22043,3,6,4
South Houston,TX,17544,4,3,0
South Jordan,UT,66648,3,11,1
South Kingstown,RI,30826,0,3,0
South Lake Tahoe,CA,21706,0,8,2
South Milwaukee,WI,21233,0,5,1
South Orange,NJ,17295,1,6,0
South Pasadena,CA,26151,0,3,0
South Portland,ME,25556,0,3,1
South Saint Paul,MN,20160,3,4,0
South Salt Lake,UT,24788,2,4,0
South San Francisco,CA,67271,2,2,1
South Valley,NM,40976,0,1,0
South Windsor,CT,24412,2,8,0
Southaven,MS,52589,13,22,8
Southbridge,MA,19030,2,13,0
Southbury,CT,19836,0,2,0
Southfield,MI,73156,21,34,11
Southgate,MI,29293,3,8,4
Southlake,TX,29941,0,9,3
Spanaway,WA,27227,6,27,12
Spanish Fork,UT,37935,2,8,8
Spanish Lake,MO,19650,4,3,1
Spanish Springs,NV,15064,1,3,1
Sparks,NV,96094,25,73,12
Spartanburg,SC,37867,116,233,37
Spokane,WA,213272,90,362,41
Spokane Valley,WA,94919,0,2,0
Spring,TX,54298,21,64,31
Spring Hill,FL,98621,13,46,11
Spring Hill,TN,36055,2,7,1
Spring Valley,CA,28205,8,14,3
Spring Valley,NY,32598,3,11,3
Springboro,OH,18213,1,4,3
Springdale,AR,77859,18,37,6
Springfield,IL,116565,113,303,38
Springfield,MA,154341,259,798,48
Springfield,MO,166810,117,333,63
Springfield,OH,59680,101,186,39
Springfield,OR,60870,13,40,10
Springfield,PA,23363,0,3,0
Springfield,TN,16808,30,42,9
Springfield,VA,30484,4,7,2
Springfield Gardens,NY,30515,1,2,1
Springville,UT,32286,4,6,0
St. Petersburg,FL,257083,0,2,1
Stafford,TX,18459,4,10,10
Stallings,NC,15270,0,3,0
Stamford,CT,128874,50,207,7
Stanton,CA,38872,6,6,0
Starkville,MS,25366,15,32,6
State College,PA,42161,1,10,1
Staten Island,NY,468730,148,411,43
Statesboro,GA,30721,26,154,15
Statesville,NC,26221,32,68,15
Staunton,VA,24416,7,14,4
Stephenville,TX,20120,1,4,1
Sterling,IL,15057,1,7,0
Sterling,VA,27822,4,19,2
Sterling Heights,MI,132052,5,19,8
Steubenville,OH,18219,13,17,5
Stevens Point,WI,26604,1,7,1
Stevenson Ranch,CA,17557,1,3,2
Stillwater,MN,18924,1,3,1
Stillwater,OK,48967,10,20,8
Stockbridge,GA,28202,11,21,8
Stockton,CA,305658,227,555,150
Stoneham,MA,21437,0,1,1
Stoughton,MA,26915,6,25,0
Stow,OH,34797,1,4,0
Stratford,CT,51384,12,37,3
Streamwood,IL,40554,2,6,0
Streetsboro,OH,16312,0,4,1
Strongsville,OH,44668,0,5,3
Stuart,FL,16462,13,51,5
Studio City,CA,34034,4,5,2
Sudbury,MA,17343,0,2,0
Suffolk,VA,88161,57,78,12
Sugar Land,TX,88156,5,24,8
Suitland,MD,25825,10,26,20
Sulphur,LA,20189,8,18,6
Sulphur Springs,TX,16098,2,7,4
Summerville,SC,48848,46,128,33
Summit,NJ,22074,0,1,0
Sumter,SC,40816,30,74,20
Sun City,AZ,37499,2,4,2
Sun City Center,FL,19258,0,2,0
Sun City West,AZ,24535,0,1,2
Sun Prairie,WI,32365,5,15,1
Sun Valley,NV,19299,4,11,3
Sunland,CA,15316,1,2,1
Sunland Park,NM,15940,2,2,0
Sunny Isles Beach,FL,22123,1,1,0
Sunnyside,WA,16325,3,8,6
Sunnyvale,CA,151754,3,10,7
Sunrise,FL,84439,4,8,2
Superior,WI,26579,4,15,2
Surprise,AZ,128422,2,11,11
Susanville,CA,15247,1,2,1
Suwanee,GA,18694,2,7,8
Swansea,MA,16525,0,4,2
Sweetwater,FL,20840,0,1,0
Sycamore,IL,17712,1,2,2
Sylvania,OH,18965,2,8,0
Syracuse,NY,144142,392,642,76
Syracuse,UT,27395,2,4,4
Tacoma,WA,207948,90,223,57
Tahlequah,OK,16598,6,13,4
Takoma Park,MD,17713,3,4,0
Talladega,AL,15709,8,22,9
Tallahassee,FL,189907,126,260,67
Tallmadge,OH,17512,3,5,0
Tamarac,FL,64681,1,2,1
Tampa,FL,369075,302,601,150
Tarpon Springs,FL,24605,5,15,8
Taunton,MA,56789,18,36,4
Tavares,FL,15430,2,14,3
Taylor,MI,61568,6,20,10
Taylor,TX,16702,3,9,5
Taylors,SC,21617,12,25,8
Taylorsville,UT,60514,1,1,0
Teaneck,NJ,40078,2,12,0
Temecula,CA,112011,5,21,11
Tempe,AZ,175826,41,74,36
Temple,TX,72277,29,50,18
Temple City,CA,36365,0,4,1
Temple Terrace,FL,25731,1,3,2
Terre Haute,IN,60825,30,66,16
Terrell,TX,16981,11,17,3
Terrytown,LA,23319,2,5,4
Tewksbury,MA,29326,0,10,2
Texarkana,AR,30353,25,35,14
Texarkana,TX,37280,28,53,19
Texas City,TX,47618,10,24,10
The Colony,TX,41779,0,6,5
The Dalles,OR,15340,3,4,1
The Villages,FL,51442,0,8,0
Thomasville,GA,18742,12,39,4
Thomasville,NC,27061,10,26,3
Thornton,CO,133451,8,35,19
Thousand Oaks,CA,129339,1,4,3
Tiffin,OH,17687,3,6,3
Tifton,GA,16725,9,44,11
Tigard,OR,51253,2,5,0
Tinley Park,IL,57143,1,4,0
Titusville,FL,45393,23,48,15
Toledo,OH,279789,609,804,111
Toms River,NJ,88791,10,19,4
Tooele,UT,33157,4,7,2
Topeka,KS,127265,167,362,70
