city_or_county,state_abr,population,n_injured,n_rpts,n_killed
Bellingham,WA,85146,8,37,10
Bellmore,NY,16218,1,2,0
Bellwood,IL,19308,7,6,4
Belmont,CA,27218,3,4,1
Beloit,WI,36891,40,97,16
Belton,MO,23168,3,6,4
Belton,TX,20547,4,19,9
Belvidere,IL,25132,2,11,1
Benbrook,TX,22629,0,2,2
Bend,OR,87014,7,15,5
Benicia,CA,28167,4,5,0
Bensenville,IL,18440,0,1,1
Benton,AR,34177,8,44,4
Bentonville,AR,44499,2,29,1
Berea,OH,18874,0,6,0
Bergenfield,NJ,27621,0,5,2
Berkeley,CA,120972,32,72,6
Berwyn,IL,56368,3,6,3
Bessemer,AL,26730,63,94,38
Bethany,OK,19589,3,8,3
Bethel Park,PA,32118,0,1,0
Bethesda,MD,60858,3,3,3
Bethlehem,PA,74892,24,61,6
Bethpage,NY,16429,0,3,0
Bettendorf,IA,35505,1,10,1
Beverly,MA,41186,0,5,2
Beverly Hills,CA,34869,2,6,2
Biddeford,ME,21282,2,9,3
Big Spring,TX,28862,7,15,7
Billerica,MA,39904,2,3,1
Billings,MT,110263,30,131,19
Biloxi,MS,45637,27,64,14
Binghamton,NY,46032,19,60,10
Birmingham,AL,212461,626,976,364
Birmingham,MI,20857,0,2,0
Bismarck,ND,71167,17,96,9
Bixby,OK,24657,0,3,1
Blacksburg,VA,44215,1,4,0
Blaine,MN,62124,2,4,0
Bloomfield,NJ,49120,6,18,5
Bloomingdale,IL,22254,0,2,3
Bloomington,CA,23851,2,8,8
Bloomington,IL,78292,18,56,3
Bloomington,IN,84067,18,44,7
Bloomington,MN,86435,2,4,0
Blue Island,IL,23652,2,4,3
Blue Springs,MO,54148,4,17,9
Bluffton,SC,16728,15,75,4
Blythe,CA,19208,2,4,0
Boardman,OH,35376,1,1,0
Boca Raton,FL,93235,18,68,11
Boise,ID,145987,14,110,23
Bolingbrook,IL,74306,5,18,3
Bon Air,VA,16366,0,1,0
Bonita Springs,FL,51704,4,14,1
Bonney Lake,WA,19903,3,9,5
Boone,NC,18156,4,12,1
Bossier City,LA,68094,34,88,18
Boston,MA,667137,586,1734,175
Bothell,WA,42939,0,3,1
Boulder,CO,107349,7,35,9
Boulder City,NV,15551,1,3,1
Bountiful,UT,43784,2,7,0
Bourbonnais,IL,18569,2,4,0
Bowie,MD,58025,5,23,10
Bowling Green,KY,63616,32,79,11
Bowling Green,OH,31246,4,10,0
Boyle Heights,CA,92785,4,12,6
Boynton Beach,FL,73966,65,199,38
Bozeman,MT,43405,3,21,6
Bradenton,FL,54437,88,201,55
Bradley,IL,15617,2,4,0
Braintree,MA,37297,2,15,2
Brandon,FL,103483,6,32,11
Brandon,MS,23529,8,16,5
Branford,CT,29438,1,7,1
Brawley,CA,25897,1,5,2
Brea,CA,41944,0,6,2
Bremerton,WA,39520,7,15,5
Brenham,TX,16579,1,5,2
Brentwood,CA,58968,6,13,3
Brentwood,NY,60664,8,16,2
Brentwood,TN,41763,3,4,0
Bridgeport,CT,147629,358,630,56
Bridgeton,NJ,25031,39,100,20
Bridgeview,IL,16407,5,7,4
Bridgewater,NJ,44464,2,5,0
Brighton,CO,37585,8,15,3
Bristol,CT,60452,19,40,3
Bristol,RI,22795,1,1,0
Bristol,TN,26666,8,17,8
Bristol,VA,17141,3,14,4
Broadview Heights,OH,19229,1,1,0
