antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'ATF/LE Confiscation/Raid/Arrest'}),"frozenset({'Drug involvement', 'Possession of gun by felon or prohibited person'})",0.09484751146775398,0.02854196546042884,0.018911422712672016,0.19938765308672832,6.985771647827246,0.016204288316351755,1.2133937707618276
"frozenset({'Drug involvement', 'Possession of gun by felon or prohibited person'})",frozenset({'ATF/LE Confiscation/Raid/Arrest'}),0.02854196546042884,0.09484751146775398,0.018911422712672016,0.6625830564784053,6.985771647827246,0.016204288316351755,2.6825934675515675
frozenset({'Stolen/Illegally owned gun{s} recovered during arrest/warrant'}),"frozenset({'Possession (gun(s) found during commission of other crimes)', 'Possession of gun by felon or prohibited person'})",0.03826733201370204,0.04711557836594877,0.012267829838681,0.3205823137680037,6.804168066834006,0.010464842358333643,1.4025016436040731
"frozenset({'Possession (gun(s) found during commission of other crimes)', 'Possession of gun by felon or prohibited person'})",frozenset({'Stolen/Illegally owned gun{s} recovered during arrest/warrant'}),0.04711557836594877,0.03826733201370204,0.012267829838681,0.26037735849056604,6.804168066834005,0.010464842358333643,1.3003018215120865
frozenset({'Drug involvement'}),"frozenset({'ATF/LE Confiscation/Raid/Arrest', 'Possession (gun(s) found during commission of other crimes)', 'Possession of gun by felon or prohibited person'})",0.08176182630649424,0.029792454395676033,0.016558607038296966,0.20252247028124096,6.7977773026526584,0.01412272155675355,1.2165954643844077
"frozenset({'ATF/LE Confiscation/Raid/Arrest', 'Possession (gun(s) found during commission of other crimes)', 'Possession of gun by felon or prohibited person'})",frozenset({'Drug involvement'}),0.029792454395676033,0.08176182630649424,0.016558607038296966,0.5557986870897156,6.7977773026526584,0.01412272155675355,2.067166725999666
"frozenset({'Possession (gun(s) found during commission of other crimes)', 'Possession of gun by felon or prohibited person'})",frozenset({'ATF/LE Confiscation/Raid/Arrest'}),0.04711557836594877,0.09484751146775398,0.029792454395676033,0.6323270440251573,6.666775271590907,0.025323659036301845,2.461841356083256
frozenset({'ATF/LE Confiscation/Raid/Arrest'}),"frozenset({'Possession (gun(s) found during commission of other crimes)', 'Possession of gun by felon or prohibited person'})",0.09484751146775398,0.04711557836594877,0.029792454395676033,0.31410897275681077,6.6667752715909065,0.025323659036301845,1.3892650345113742
"frozenset({'ATF/LE Confiscation/Raid/Arrest', 'Drug involvement'})",frozenset({'Stolen/Illegally owned gun{s} recovered during arrest/warrant'}),0.04379674517287565,0.03826733201370204,0.010786207877487644,0.24627875507442493,6.435744069804556,0.00911022328883771,1.2759792489082125
frozenset({'Stolen/Illegally owned gun{s} recovered during arrest/warrant'}),"frozenset({'ATF/LE Confiscation/Raid/Arrest', 'Drug involvement'})",0.03826733201370204,0.04379674517287565,0.010786207877487644,0.28186464302307573,6.435744069804555,0.00911022328883771,1.3315083925854523
"frozenset({'ATF/LE Confiscation/Raid/Arrest', 'Stolen/Illegally owned gun{s} recovered during arrest/warrant'})",frozenset({'Possession of gun by felon or prohibited person'}),0.02108051726385909,0.08465987886258845,0.011473680467481361,0.5442788867022772,6.429006207127899,0.009689006429562346,2.008553245456985
frozenset({'Possession of gun by felon or prohibited person'}),"frozenset({'ATF/LE Confiscation/Raid/Arrest', 'Stolen/Illegally owned gun{s} recovered during arrest/warrant'})",0.08465987886258845,0.02108051726385909,0.011473680467481361,0.13552677633881693,6.429006207127899,0.009689006429562346,1.1323884371921429
